,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_angsep,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec
sy_snum,1.0,0.01938865993086619,-0.10483575957765233,0.03925744211015384,0.02549801681763776,0.1791643491726918,0.15692726275408203,0.1569217629376157,0.1500232123609644,0.14994710131624941,-0.06603376977233172,0.16889372601392869,0.060242097542005976,0.059301479026443574,-0.03206969861491256,0.09931050583090059,0.03407557823883768,0.14267622457206364,-0.04907751252436977,-0.07133967129693826,0.13837482179309504,0.004014178430136184,0.03712143499860607,0.030985067522000337,0.029719457147902025,0.023879766009623386,-0.025770376236677127,-0.01675436830250967,-0.009709846341645834,-0.09326078660518416,-0.08247721229179342,-0.021652014389484327,0.0715969825508971,-0.10117531148368757,-0.0917536153396739,0.1724101654623607,0.0012170179369034753,-0.08324330892810748,-0.2095663529222972,0.21086034839818601,-0.18742028885070955,-0.19390531619952106,-0.21162323780076495,-0.21105299801504268,-0.21211726444013523,-0.2244269883101067,-0.2254553718693753,-0.22441380435718755,-0.18264441405216195,-0.2001931360472604,-0.20496690602298556,0.31298962232052174,0.17015736799338668,0.1633031795712256,0.08056933224024869,0.13656475121879272,0.08555177440881036,0.02577224480623025
sy_pnum,0.01938865993086619,1.0,-0.20155893602581043,0.12656090829175354,0.021756263768864182,0.12477603463057585,-0.25035206043177016,-0.2502404952014546,-0.20639512728224627,-0.2063393486258777,0.13324143054273846,0.0347846659325424,-0.22104380634158344,-0.22584565519823893,0.11823656271549947,-0.05477198494965341,-0.022526763939035625,-0.19825285908655021,0.03834009902161098,0.16933920749141415,-0.18938131386728177,-0.0786259115499798,-0.12175631440074691,-0.09092327792832675,-0.039868265849081694,-0.13282915331379982,0.10651856759931415,0.02887283966117793,0.02890891988700551,0.04821201756678834,0.06822514108990511,0.028426950871601332,-0.036353450098866286,0.07837889066505549,0.07565432494054469,0.07532659110977802,-0.0045640646048475345,-0.03517696832492818,-0.14647938447386236,0.09627574013441613,-0.03344372748417268,-0.035081817543618325,-0.04144860434750156,-0.04408465448084171,-0.04555248125071162,-0.02389705625196296,-0.023387465734506507,-0.012600276845995382,-0.004893540555585874,-0.037945842310623576,-0.03960064209350182,0.15337139953853454,0.07581768113978193,0.019650906889486,0.12018915964039079,-0.08262239723388874,0.027982620926529075,-0.0022195108071449317
disc_year,-0.10483575957765233,-0.20155893602581043,1.0,-0.14747611460414742,-0.06750498521247178,0.07165553621162465,-0.030023953635119602,-0.029998261520747322,-0.03706209719355969,-0.037016970562203995,-0.015233820984194136,0.048225331190608185,-0.035921694172182404,-0.010333340039305479,-0.03846159152066748,0.5320136466280228,0.08646341753560324,0.1422032473417536,-0.16764074427378386,-0.02961853340117747,0.11502251620457854,-0.12840039514936102,-0.14443409270746055,-0.16828289282940778,-0.018013257100045615,-0.15857931734926903,0.1184541651996799,0.034549416819078846,0.16900119087748905,-0.20329470244945602,-0.15525159660825297,-0.03720027063358291,0.18300801437514544,-0.2133588053237583,-0.22555042367050016,0.16360620877000298,-0.016426046111412,0.015603175371846006,-0.11962396838497759,0.1855059331746187,-0.06943414176227732,-0.07797449933856111,-0.13499705211767027,-0.141344852123234,-0.14136801858236073,-0.10072052441464749,-0.10157071724592152,-0.10697526711555352,-0.05359867676185487,-0.10109657252824963,-0.11708431041893551,-0.4027833131392029,-0.2718254639649327,-0.40083200822228154,-0.18181370335222985,-0.15866029971538823,-0.12379402607613309,-0.023713314637844905
pl_orbper,0.03925744211015384,0.12656090829175354,-0.14747611460414742,1.0,0.9904264390469143,0.6828631682793962,0.3066297412024265,0.3066839289348771,0.3420688792036919,0.3420480719375047,-0.08587200601302357,0.35129554562365967,-0.7388034078887787,-0.7498672381661664,0.37492066071829566,-0.0454887101248332,0.01674949378086753,-0.05850141232769755,0.6981783125728435,0.8415103059460695,-0.025144448417890684,0.03829669591841908,0.19318005280393222,0.1460561929080164,-0.05460820616031462,0.19754889465607878,-0.20043248162514188,-0.0018618553680625558,-0.11150085094770748,-0.028445700030634173,-0.02382138640283437,-0.005629586887532645,0.012535171343144788,-0.02630365873975476,-0.029333023803669547,0.14183012603235198,-0.01394346923276177,-0.06584898021604825,-0.12087814070118716,0.13064928739950943,-0.2743201930185435,-0.26294781819854496,-0.22081192679701672,-0.21272326231699157,-0.21134581348827275,-0.19706531031915184,-0.1969593292272446,-0.19851950812299113,-0.20621766632354915,-0.25078454452276794,-0.23651386639700772,0.05491368105667722,0.3141211330947565,0.16066564295632552,0.22888486671163666,-0.18523543573074078,-0.11116306361979922,0.07478222690402266
pl_orbsmax,0.02549801681763776,0.021756263768864182,-0.06750498521247178,0.9904264390469143,1.0,0.6390653124613567,0.38650237396790094,0.38656843203918567,0.42927245286226867,0.42925866053998113,-0.09511263618685653,0.3417127692599181,-0.6493369311687538,-0.6303163913060985,0.33761578264805303,-0.025364030630044058,0.026656255321815054,-0.07718092874882203,0.7506955434736684,0.7883662079849604,-0.0467691674023674,0.10001727001600774,0.2723159550941933,0.11305344304543115,-0.027387273732274255,0.2680771268272136,-0.27893440987660695,-0.05835192431686897,-0.18264137446505366,-0.08530601903424923,-0.12955914672828514,-0.07261127626931108,0.018668837342123646,-0.11698782784550171,-0.09261770855472796,0.12197189500895883,-0.022007389019680485,-0.06823838188262323,0.004677475877366276,0.11328725527163969,-0.31084624810479516,-0.2952347491768629,-0.234304971595143,-0.21895652187181613,-0.21803710920069555,-0.22533044912061398,-0.2257274387205442,-0.2295301270945587,-0.2308652765991685,-0.27627785957012224,-0.2554780049637972,0.11902426848891626,0.2790834283517119,0.13123090115961963,0.18473897277006848,-0.1824503495330375,-0.13528936803035702,0.10165622347918433
pl_angsep,0.1791643491726918,0.12477603463057585,0.07165553621162465,0.6828631682793962,0.6390653124613567,1.0,0.33473558073773174,0.3348636613860692,0.39640121636333414,0.3963880578140438,-0.055896126519539485,0.6229715213629791,-0.6783482645787248,-0.5948159935687963,0.1927594980503503,0.45254268189843017,0.08903042651544885,0.23382907585815008,0.20705528971877285,0.6089699290468527,0.2449863026484039,-0.27721270252059454,-0.04165690410642517,-0.10752328397025103,-0.0390637477703078,-0.09751196851748713,-0.0020340356057914712,0.028606777620236803,0.16843978937582052,-0.36628693160685843,-0.34679368603069693,-0.11101375907319175,0.3038885593022186,-0.42848087235099935,-0.38893234875424487,0.6764075611491576,-0.026825541925582543,-0.22786586653051952,-0.7068225030739661,0.7789542433545912,-0.6291254175908564,-0.6543276955007231,-0.7475957539321534,-0.7537417641312029,-0.7603115568402611,-0.7419550452244336,-0.7449981996299466,-0.7354442427004235,-0.6198290091892503,-0.6893512058744067,-0.7171151819013071,-0.07101036948818189,0.5250428909615864,0.27845843876705983,0.3645779613323042,-0.04223381832212146,0.024667174997424615,0.10047026307156105
pl_rade,0.15692726275408203,-0.25035206043177016,-0.030023953635119602,0.3066297412024265,0.38650237396790094,0.33473558073773174,1.0,0.9999771743150916,0.9314754625875492,0.9314634695214407,-0.642059032389304,0.472808806308228,0.08159656381907505,0.12850945875739267,-0.09819336314349181,0.3571994642540245,0.17417212199768245,0.7949036789347685,0.2879557394222547,-0.01313135104146383,0.8028083293049096,0.19157609521507074,0.4169598476556572,0.30708716558779664,0.23097217836051925,0.36266673107405245,-0.4154936472600077,-0.06189283177990896,-0.2549353120028284,-0.2615447681770532,-0.3315231249536472,-0.15015076722397408,0.21337014555294317,-0.39828658002947126,-0.29356617199561896,0.1643338300452756,-0.0426201878099338,-0.08564502861161975,-0.11639620246636763,0.19857978697764486,-0.43154138084091404,-0.4097329972910795,-0.3668324033130752,-0.34993354815949784,-0.34821533618481576,-0.39399614284119344,-0.3934128250353972,-0.40513341425694904,-0.393593805995876,-0.39879206917294685,-0.3825044949239632,-0.09077126817784888,0.31715913745204144,0.3087707173778916,0.17272280970376572,0.15565229752100831,0.06098106345931943,0.08007571549333092
pl_radj,0.1569217629376157,-0.2502404952014546,-0.029998261520747322,0.3066839289348771,0.38656843203918567,0.3348636613860692,0.9999771743150916,1.0,0.9314980858610407,0.9314869425384436,-0.6419240980616767,0.4729605244491333,0.08161799119607117,0.12851980983330508,-0.09822305350887797,0.35745049775785104,0.17418990729986883,0.7949033608238947,0.28794117542443265,-0.013109488144566838,0.8027982071211291,0.1915857523792938,0.41694817016752833,0.3070270383396144,0.23082952729380588,0.36265707666177666,-0.41551312190800666,-0.06188722535076064,-0.2549461861362059,-0.26145265263028833,-0.3315841763497754,-0.1502136140410597,0.21330637335565739,-0.398299272943483,-0.293452079501537,0.16455532858582694,-0.04251087449902177,-0.08577501465546755,-0.1165311723912385,0.1987523817482828,-0.43171774148945047,-0.40988692008315375,-0.36701445500178514,-0.3500796370860089,-0.3483702877758282,-0.3941824028611754,-0.3935938820346686,-0.40530129931052833,-0.3937601368736168,-0.39895036592539945,-0.3826718711769994,-0.09071456216370193,0.3173195239547092,0.3084890639972615,0.17266421406276683,0.15566238905612545,0.06101568709872508,0.08117679868284336
pl_bmasse,0.1500232123609644,-0.20639512728224627,-0.03706209719355969,0.3420688792036919,0.42927245286226867,0.39640121636333414,0.9314754625875492,0.9314980858610407,1.0,0.9999955747231339,-0.4237401788090705,0.526435265999879,0.0826815883779035,0.12593732357547044,-0.10408304387460758,0.35733419165695884,0.16225909065493316,0.7517998647905454,0.25082609259238703,-0.03040967736940013,0.751261355682973,0.14476618623535226,0.384945326320511,0.2795009091633789,0.2319220457341048,0.33460469420438815,-0.3871058938040342,-0.06930403502638663,-0.23108550968737734,-0.2642126186623963,-0.33281758370433884,-0.15418671758571184,0.22460271096514595,-0.39955670939232235,-0.2952870298347688,0.19881371799367012,-0.050820228079147836,-0.09133282943656952,-0.16366662636599838,0.24666445202896364,-0.44704311115834366,-0.430806497493636,-0.3996351452554034,-0.38626650252906414,-0.3852488453709077,-0.42808083521850704,-0.4281874963872987,-0.4397918289307198,-0.42132517064184927,-0.4210707038990562,-0.4087519570536719,-0.08659025559061412,0.32952911760895637,0.3048114208492438,0.17467818389744308,0.11856397631330323,0.03700972030640773,0.09835285119849999
pl_bmassj,0.14994710131624941,-0.2063393486258777,-0.037016970562203995,0.3420480719375047,0.42925866053998113,0.3963880578140438,0.9314634695214407,0.9314869425384436,0.9999955747231339,1.0,-0.4237288621641907,0.5264346315495314,0.08263841568013043,0.12592030110130076,-0.10400844836158205,0.35736769034788995,0.16220432235878998,0.7518378048947127,0.2507246349978836,-0.030382050143842987,0.7513000620504716,0.1448078471851999,0.3848794235707382,0.27950408103886626,0.23182157238487655,0.3345830482060078,-0.3870401159712245,-0.06929819863054001,-0.23101642723928584,-0.2641700960585664,-0.3327494738467055,-0.15416982528926712,0.2245811890695157,-0.3995012414010653,-0.2952446365270352,0.19882758374668136,-0.050849656109306314,-0.09133860615753076,-0.16367505486721318,0.2466634576478658,-0.4470513117714022,-0.43078127002212313,-0.3995973766615858,-0.38622749536969014,-0.3852132375109376,-0.4280449028591091,-0.42815023722626566,-0.4397423867778218,-0.4213104484459225,-0.42103913167571577,-0.40872116275097653,-0.0865892412447227,0.32950517803735707,0.3047570763582756,0.1745769319198384,0.11854003912453841,0.03700371015766922,0.09845726058210008
