column,description,dtype,non_null,missing,missing_pct,unique,unique_pct
pl_angseperr1,Angular Separation Upper Unc. [mas],float64,0,6273,100.0,0,0.0
pl_angseperr2,Angular Separation Lower Unc. [mas],float64,0,6273,100.0,0,0.0
sy_kepmagerr1,Kepler Magnitude Upper Unc,float64,0,6273,100.0,0,0.0
sy_kepmagerr2,Kepler Magnitude Lower Unc,float64,0,6273,100.0,0,0.0
sy_icmagerr2,I (Cousins) Magnitude Lower Unc,float64,18,6255,99.713,17,0.271
pl_occdeperr1,Occultation Depth Upper Unc. [%],float64,32,6241,99.49,28,0.446
pl_occdeperr2,Occultation Depth Lower Unc. [%],float64,32,6241,99.49,27,0.43
pl_occdep,Occultation Depth [%],float64,35,6238,99.442,35,0.558
pl_occdep_reflink,Occultation Depth Reference,object,35,6238,99.442,24,0.383
pl_occdeplim,Occultation Depth Limit Flag,float64,35,6238,99.442,2,0.032
pl_trueobliqerr1,True Obliquity Upper Unc. [deg],float64,58,6215,99.075,44,0.701
pl_trueobliqerr2,True Obliquity Lower Unc. [deg],float64,58,6215,99.075,45,0.717
pl_trueobliq,True Obliquity [deg],float64,64,6209,98.98,58,0.925
pl_trueobliq_reflink,True Obliquity Reference,object,64,6209,98.98,51,0.813
pl_trueobliqlim,True Obliquity Limit Flag,float64,64,6209,98.98,3,0.048
sy_icmagerr1,I (Cousins) Magnitude Upper Unc,float64,214,6059,96.589,46,0.733
pl_projobliqerr1,Projected Obliquity Upper Unc. [deg],float64,219,6054,96.509,116,1.849
pl_projobliqerr2,Projected Obliquity Lower Unc. [deg],float64,219,6054,96.509,118,1.881
pl_projobliq,Projected Obliquity [deg],float64,220,6053,96.493,173,2.758
pl_projobliq_reflink,Projected Obliquity Reference,object,220,6053,96.493,154,2.455
pl_projobliqlim,Projected Obliquity Limit Flag,float64,220,6053,96.493,1,0.016
sy_icmag,I (Cousins) Magnitude,float64,348,5925,94.452,209,3.332
st_rotperr1,Stellar Rotational Period [days] Upper Unc.,float64,706,5567,88.745,199,3.172
st_rotperr2,Stellar Rotational Period [days] Lower Unc.,float64,706,5567,88.745,194,3.093
sy_gmagerr2,g (Sloan) Magnitude Lower Unc,float64,749,5524,88.06,569,9.071
sy_imagerr2,i (Sloan) Magnitude Lower Unc,float64,749,5524,88.06,567,9.039
sy_rmagerr2,r (Sloan) Magnitude Lower Unc,float64,749,5524,88.06,568,9.055
sy_umagerr2,u (Sloan) Magnitude Lower Unc,float64,749,5524,88.06,569,9.071
sy_zmagerr2,z (Sloan) Magnitude Lower Unc,float64,749,5524,88.06,568,9.055
sy_umagerr1,u (Sloan) Magnitude Upper Unc,float64,751,5522,88.028,571,9.103
sy_zmagerr1,z (Sloan) Magnitude Upper Unc,float64,756,5517,87.948,574,9.15
sy_umag,u (Sloan) Magnitude,float64,758,5515,87.916,573,9.134
pl_orbtper_systemref,Epoco of Periastron Time System Frame and Standard,object,799,5474,87.263,7,0.112
st_rotp,Stellar Rotational Period [days],float64,884,5389,85.908,450,7.174
st_rotp_reflink,Stellar Rotational Period Reference,object,884,5389,85.908,378,6.026
st_rotplim,Stellar Rotational Period Limit Flag,float64,884,5389,85.908,3,0.048
sy_gmagerr1,g (Sloan) Magnitude Upper Unc,float64,891,5382,85.796,618,9.852
sy_imagerr1,i (Sloan) Magnitude Upper Unc,float64,894,5379,85.748,622,9.916
sy_rmagerr1,r (Sloan) Magnitude Upper Unc,float64,902,5371,85.621,618,9.852
pl_orbtpererr1,Epoch of Periastron Upper Unc. [days],float64,1019,5254,83.756,663,10.569
pl_orbtpererr2,Epoch of Periastron Lower Unc. [days],float64,1019,5254,83.756,649,10.346
hd_name,HD ID,object,1040,5233,83.421,736,11.733
pl_orbtper,Epoch of Periastron [days],float64,1047,5226,83.309,1030,16.42
pl_orbtper_reflink,Epoch of Periastron Reference,object,1047,5226,83.309,385,6.137
pl_orbtperlim,Epoch of Periastron Limit Flag,float64,1047,5226,83.309,1,0.016
hip_name,HIP ID,object,1136,5137,81.891,782,12.466
pl_denserr1,Planet Density Upper Unc. [g/cm**3],float64,1411,4862,77.507,441,7.03
pl_denserr2,Planet Density Lower Unc. [g/cm**3],float64,1411,4862,77.507,407,6.488
st_vsinerr2,Stellar Rotational Velocity [km/s] Lower Unc.,float64,1547,4726,75.339,132,2.104
sy_w4magerr1,W4 (WISE) Magnitude Upper Unc,float64,1553,4720,75.243,422,6.727
sy_w4magerr2,W4 (WISE) Magnitude Lower Unc,float64,1553,4720,75.243,422,6.727
st_vsinerr1,Stellar Rotational Velocity [km/s] Upper Unc.,float64,1561,4712,75.116,131,2.088
pl_orblpererr1,Argument of Periastron Upper Unc. [deg],float64,1761,4512,71.927,781,12.45
pl_orblpererr2,Argument of Periastron Lower Unc. [deg],float64,1761,4512,71.927,764,12.179
pl_eqterr1,Equilibrium Temperature Upper Unc. [K],float64,1806,4467,71.21,326,5.197
pl_eqterr2,Equilibrium Temperature Lower Unc. [K],float64,1806,4467,71.21,325,5.181
pl_orbeccenerr1,Eccentricity Upper Unc.,float64,1865,4408,70.269,309,4.926
pl_orbeccenerr2,Eccentricity Lower Unc.,float64,1865,4408,70.269,295,4.703
pl_orblper,Argument of Periastron [deg],float64,2016,4257,67.862,1196,19.066
pl_orblper_reflink,Argument of Periastron Reference,object,2016,4257,67.862,776,12.37
pl_orblperlim,Argument of Periastron Limit Flag,float64,2086,4187,66.746,2,0.032
pl_orbinclerr1,Inclination Upper Unc. [deg],float64,2171,4102,65.391,711,11.334
pl_orbinclerr2,Inclination Lower Unc. [deg],float64,2173,4100,65.359,707,11.271
st_radverr2,Systemic Radial Velocity Lower Unc. [km/s],float64,2255,4018,64.052,931,14.841
st_vsin,Stellar Rotational Velocity [km/s],float64,2256,4017,64.036,501,7.987
st_vsin_reflink,Stellar Rotational Velocity Reference,object,2256,4017,64.036,874,13.933
st_vsinlim,Stellar Rotational Velocity Limit Flag,float64,2256,4017,64.036,3,0.048
st_radverr1,Systemic Radial Velocity Upper Unc. [km/s],float64,2298,3975,63.367,931,14.841
st_spectype,Spectral Type,object,2299,3974,63.351,327,5.213
st_spectype_reflink,Spectral Type Reference,object,2299,3974,63.351,911,14.523
st_radv,Systemic Radial Velocity [km/s],float64,2362,3911,62.347,1656,26.399
st_radv_reflink,Systemic Radial Velocity Reference,object,2362,3911,62.347,523,8.337
st_radvlim,Systemic Radial Velocity Limit Flag,float64,2362,3911,62.347,2,0.032
pl_rvamperr1,Radial Velocity Amplitude Upper Unc. [m/s],float64,2395,3878,61.821,621,9.9
pl_rvamperr2,Radial Velocity Amplitude Lower Unc. [m/s],float64,2395,3878,61.821,622,9.916
pl_rvamp,Radial Velocity Amplitude [m/s],float64,2475,3798,60.545,1752,27.929
pl_rvamp_reflink,Radial Velocity Amplitude Reference,object,2475,3798,60.545,886,14.124
pl_rvamplim,Radial Velocity Amplitude Limit Flag,float64,2475,3798,60.545,3,0.048
pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,float64,2990,3283,52.335,1232,19.64
pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,float64,2990,3283,52.335,1172,18.683
pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,float64,2990,3283,52.335,989,15.766
pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,float64,2990,3283,52.335,933,14.873
sy_zmag,z (Sloan) Magnitude,float64,3256,3017,48.095,1923,30.655
sy_kepmag,Kepler Magnitude,float64,3455,2818,44.923,1891,30.145
sy_imag,i (Sloan) Magnitude,float64,3469,2804,44.7,2071,33.015
sy_gmag,g (Sloan) Magnitude,float64,3506,2767,44.11,2180,34.752
sy_rmag,r (Sloan) Magnitude,float64,3523,2750,43.839,2117,33.748
pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],float64,3638,2635,42.005,2705,43.121
pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],float64,3638,2635,42.005,2671,42.579
st_lumerr2,Stellar Luminosity Lower Unc. [log(Solar)],float64,3763,2510,40.013,2044,32.584
st_lumerr1,Stellar Luminosity Upper Unc. [log(Solar)],float64,3769,2504,39.917,2008,32.01
pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au],float64,3895,2378,37.908,751,11.972
pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au],float64,3895,2378,37.908,748,11.924
pl_radeerr1,Planet Radius Upper Unc. [Earth Radius],float64,4330,1943,30.974,900,14.347
pl_radeerr2,Planet Radius Lower Unc. [Earth Radius],float64,4330,1943,30.974,849,13.534
pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius],float64,4330,1943,30.974,905,14.427
pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius],float64,4330,1943,30.974,830,13.231
sy_w3magerr2,W3 (WISE) Magnitude Lower Unc,float64,4333,1940,30.926,504,8.034
pl_trandeperr1,Transit Depth Upper Unc. [%],float64,4335,1938,30.894,1500,23.912
pl_trandeperr2,Transit Depth Lower Unc. [%],float64,4335,1938,30.894,1488,23.721
pl_insol,Insolation Flux [Earth Flux],float64,4389,1884,30.033,4146,66.093
pl_insol_reflink,Insolation Flux Reference,object,4389,1884,30.033,381,6.074
pl_insollim,Insolation Flux Limit Flag,float64,4389,1884,30.033,1,0.016
pl_impparerr1,Impact Parameter Upper Unc.,float64,4422,1851,29.507,1208,19.257
pl_impparerr2,Impact Parameter Lower Unc.,float64,4422,1851,29.507,1254,19.99
pl_trandep,Transit Depth [%],float64,4448,1825,29.093,3863,61.581
pl_trandep_reflink,Transit Depth Reference,object,4448,1825,29.093,304,4.846
pl_trandeplim,Transit Depth Limit Flag,float64,4448,1825,29.093,2,0.032
pl_ratdorerr1,Ratio of Semi-Major Axis to Stellar Radius Upper Unc.,float64,4458,1815,28.934,1200,19.13
pl_ratdorerr2,Ratio of Semi-Major Axis to Stellar Radius Lower Unc.,float64,4458,1815,28.934,1226,19.544
pl_ratrorerr1,Ratio of Planet to Stellar Radius Upper Unc.,float64,4463,1810,28.854,1588,25.315
pl_ratrorerr2,Ratio of Planet to Stellar Radius Lower Unc.,float64,4463,1810,28.854,1552,24.741
pl_trandurerr1,Transit Duration Upper Unc. [hours],float64,4475,1798,28.663,1501,23.928
pl_trandurerr2,Transit Duration Lower Unc. [hours],float64,4475,1798,28.663,1494,23.816
pl_ratdor,Ratio of Semi-Major Axis to Stellar Radius,float64,4477,1796,28.631,3212,51.204
pl_ratdor_reflink,Ratio of Semi-Major Axis to Stellar Radius Reference,object,4477,1796,28.631,679,10.824
pl_ratdorlim,Ratio of Semi-Major Axis to Stellar Radius Limit Flag,float64,4477,1796,28.631,2,0.032
pl_imppar,Impact Parameter,float64,4482,1791,28.551,1739,27.722
pl_imppar_reflink,Impact Parameter Reference,object,4482,1791,28.551,760,12.115
pl_impparlim,Impact Parameter Limit Flag,float64,4482,1791,28.551,3,0.048
pl_ratror,Ratio of Planet to Stellar Radius,float64,4502,1771,28.232,3817,60.848
pl_ratror_reflink,Ratio of Planet to Stellar Radius Reference,object,4502,1771,28.232,743,11.844
pl_ratrorlim,Ratio of Planet to Stellar Radius Limit Flag,float64,4502,1771,28.232,1,0.016
st_ageerr1,Stellar Age Upper Unc. [Gyr],float64,4572,1701,27.116,756,12.052
st_ageerr2,Stellar Age Lower Unc. [Gyr],float64,4572,1701,27.116,590,9.405
pl_trandur,Transit Duration [hours],float64,4573,1700,27.1,3870,61.693
pl_trandur_reflink,Transit Duration Reference,object,4573,1700,27.1,649,10.346
pl_trandurlim,Transit Duration Limit Flag,float64,4573,1700,27.1,2,0.032
sy_w3magerr1,W3 (WISE) Magnitude Upper Unc,float64,4607,1666,26.558,504,8.034
pl_eqt,Equilibrium Temperature [K],float64,4664,1609,25.65,1902,30.32
pl_eqt_reflink,Equilibrium Temperature Reference,object,4664,1609,25.65,804,12.817
pl_eqtlim,Equilibrium Temperature Limit Flag,float64,4664,1609,25.65,2,0.032
pl_orbincl,Inclination [deg],float64,4750,1523,24.279,1502,23.944
pl_orbincl_reflink,Inclination Reference,object,4750,1523,24.279,857,13.662
pl_orbincllim,Inclination Limit Flag,float64,4750,1523,24.279,3,0.048
st_age,Stellar Age [Gyr],float64,4826,1447,23.067,660,10.521
st_age_reflink,Stellar Age Reference,object,4826,1447,23.067,924,14.73
st_agelim,Stellar Age Limit Flag,float64,4894,1379,21.983,3,0.048
pl_tranmiderr1,Transit Midpoint Upper Unc. [days],float64,4936,1337,21.314,1674,26.686
pl_tranmiderr2,Transit Midpoint Lower Unc. [days],float64,4936,1337,21.314,1666,26.558
pl_tranmid_systemref,Transit Midpoint Time Reference Frame and Standard,object,4944,1329,21.186,8,0.128
pl_tranmid,Transit Midpoint [days],float64,4994,1279,20.389,4990,79.547
pl_tranmid_reflink,Time of Conjunction (Transit Midpoint) Reference,object,4994,1279,20.389,845,13.47
pl_tranmidlim,Transit Midpoint Limit Flag,float64,4994,1279,20.389,1,0.016
pl_orbeccen,Eccentricity,float64,5210,1063,16.946,607,9.676
pl_orbeccen_reflink,Eccentricity Reference,object,5210,1063,16.946,1006,16.037
pl_orbeccenlim,Eccentricity Limit Flag,float64,5210,1063,16.946,3,0.048
sy_w1magerr2,W1 (WISE) Magnitude Lower Unc,float64,5299,974,15.527,237,3.778
sy_w2magerr2,W2 (WISE) Magnitude Lower Unc,float64,5310,963,15.352,154,2.455
st_meterr1,Stellar Metallicity Upper Unc. [dex],float64,5329,944,15.049,301,4.798
st_meterr2,Stellar Metallicity Lower Unc. [dex],float64,5329,944,15.049,335,5.34
pl_orbpererr1,Orbital Period Upper Unc. [days],float64,5439,834,13.295,2770,44.158
pl_orbpererr2,Orbital Period Lower Unc. [days],float64,5439,834,13.295,2758,43.966
st_denserr1,Stellar Density Upper Unc. [g/cm**3],float64,5533,740,11.797,2757,43.95
st_denserr2,Stellar Density Lower Unc. [g/cm**3],float64,5533,740,11.797,2737,43.631
sy_w1magerr1,W1 (WISE) Magnitude Upper Unc,float64,5560,713,11.366,273,4.352
sy_w2magerr1,W2 (WISE) Magnitude Upper Unc,float64,5577,696,11.095,178,2.838
st_metratio,Stellar Metallicity Ratio,object,5592,681,10.856,3,0.048
st_met,Stellar Metallicity [dex],float64,5609,664,10.585,631,10.059
st_met_reflink,Stellar Metallicity Reference,object,5609,664,10.585,1056,16.834
st_metlim,Stellar Metallicity Limit Flag,float64,5609,664,10.585,3,0.048
sy_w4mag,W4 (WISE) Magnitude,float64,5627,646,10.298,2134,34.019
sy_w1mag,W1 (WISE) Magnitude,float64,5628,645,10.282,3329,53.069
sy_w3mag,W3 (WISE) Magnitude,float64,5628,645,10.282,3089,49.243
sy_w2mag,W2 (WISE) Magnitude,float64,5629,644,10.266,3311,52.782
st_loggerr1,Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],float64,5635,638,10.171,507,8.082
st_loggerr2,Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],float64,5635,638,10.171,567,9.039
st_tefferr1,Stellar Effective Temperature Upper Unc. [K],float64,5645,628,10.011,1523,24.279
st_tefferr2,Stellar Effective Temperature Lower Unc. [K],float64,5645,628,10.011,1549,24.693
st_raderr2,Stellar Radius Lower Unc. [Solar Radius],float64,5658,615,9.804,898,14.315
st_raderr1,Stellar Radius Upper Unc. [Solar Radius],float64,5659,614,9.788,992,15.814
st_dens,Stellar Density [g/cm**3],float64,5663,610,9.724,3397,54.153
st_dens_reflink,Stellar Density Reference,object,5663,610,9.724,678,10.808
st_denslim,Stellar Density Limit Flag,float64,5663,610,9.724,1,0.016
sy_bmagerr2,B (Johnson) Magnitude Lower Unc,float64,5778,495,7.891,444,7.078
pl_angsep,Angular Separation [mas],float64,5805,468,7.461,2358,37.59
pl_angsep_reflink,Angular Separation Reference,object,5805,468,7.461,1,0.016
pl_angseplim,Angular Separation Limit Flag,float64,5805,468,7.461,1,0.016
sy_bmagerr1,B (Johnson) Magnitude Upper Unc,float64,5809,464,7.397,444,7.078
sy_bmag,B (Johnson) Magnitude,float64,5825,448,7.142,3460,55.157
pl_orbsmax,Orbit Semi-Major Axis [au],float64,5834,439,6.998,3540,56.432
pl_orbsmax_reflink,Orbit Semi-Major Axis Reference,object,5834,439,6.998,1327,21.154
