column,description,dtype,missing_pct,unique,contest_key,model_auxiliary,duplicate_unit_group
pl_angseperr1,Angular Separation Upper Unc. [mas],float64,100.0,0,False,True,
pl_angseperr2,Angular Separation Lower Unc. [mas],float64,100.0,0,False,True,
sy_kepmagerr1,Kepler Magnitude Upper Unc,float64,100.0,0,False,True,
sy_kepmagerr2,Kepler Magnitude Lower Unc,float64,100.0,0,False,True,
sy_icmagerr2,I (Cousins) Magnitude Lower Unc,float64,99.713,17,False,True,
pl_occdeperr1,Occultation Depth Upper Unc. [%],float64,99.49,28,False,True,
pl_occdeperr2,Occultation Depth Lower Unc. [%],float64,99.49,27,False,True,
pl_occdep,Occultation Depth [%],float64,99.442,35,False,False,
pl_occdep_reflink,Occultation Depth Reference,object,99.442,24,False,True,
pl_occdeplim,Occultation Depth Limit Flag,float64,99.442,2,False,True,
pl_trueobliqerr1,True Obliquity Upper Unc. [deg],float64,99.075,44,False,True,
pl_trueobliqerr2,True Obliquity Lower Unc. [deg],float64,99.075,45,False,True,
pl_trueobliq,True Obliquity [deg],float64,98.98,58,False,False,
pl_trueobliq_reflink,True Obliquity Reference,object,98.98,51,False,True,
pl_trueobliqlim,True Obliquity Limit Flag,float64,98.98,3,False,True,
sy_icmagerr1,I (Cousins) Magnitude Upper Unc,float64,96.589,46,False,True,
pl_projobliqerr1,Projected Obliquity Upper Unc. [deg],float64,96.509,116,False,True,
pl_projobliqerr2,Projected Obliquity Lower Unc. [deg],float64,96.509,118,False,True,
pl_projobliq,Projected Obliquity [deg],float64,96.493,173,False,False,
pl_projobliq_reflink,Projected Obliquity Reference,object,96.493,154,False,True,
pl_projobliqlim,Projected Obliquity Limit Flag,float64,96.493,1,False,True,
sy_icmag,I (Cousins) Magnitude,float64,94.452,209,False,False,
st_rotperr1,Stellar Rotational Period [days] Upper Unc.,float64,88.745,199,False,True,
st_rotperr2,Stellar Rotational Period [days] Lower Unc.,float64,88.745,194,False,True,
sy_gmagerr2,g (Sloan) Magnitude Lower Unc,float64,88.06,569,False,True,
sy_imagerr2,i (Sloan) Magnitude Lower Unc,float64,88.06,567,False,True,
sy_rmagerr2,r (Sloan) Magnitude Lower Unc,float64,88.06,568,False,True,
sy_umagerr2,u (Sloan) Magnitude Lower Unc,float64,88.06,569,False,True,
sy_zmagerr2,z (Sloan) Magnitude Lower Unc,float64,88.06,568,False,True,
sy_umagerr1,u (Sloan) Magnitude Upper Unc,float64,88.028,571,False,True,
sy_zmagerr1,z (Sloan) Magnitude Upper Unc,float64,87.948,574,False,True,
sy_umag,u (Sloan) Magnitude,float64,87.916,573,False,False,
pl_orbtper_systemref,Epoco of Periastron Time System Frame and Standard,object,87.263,7,False,True,
st_rotp,Stellar Rotational Period [days],float64,85.908,450,False,False,
st_rotp_reflink,Stellar Rotational Period Reference,object,85.908,378,False,True,
st_rotplim,Stellar Rotational Period Limit Flag,float64,85.908,3,False,True,
sy_gmagerr1,g (Sloan) Magnitude Upper Unc,float64,85.796,618,False,True,
sy_imagerr1,i (Sloan) Magnitude Upper Unc,float64,85.748,622,False,True,
sy_rmagerr1,r (Sloan) Magnitude Upper Unc,float64,85.621,618,False,True,
pl_orbtpererr1,Epoch of Periastron Upper Unc. [days],float64,83.756,663,False,True,
pl_orbtpererr2,Epoch of Periastron Lower Unc. [days],float64,83.756,649,False,True,
hd_name,HD ID,object,83.421,736,False,False,
pl_orbtper,Epoch of Periastron [days],float64,83.309,1030,False,False,
pl_orbtper_reflink,Epoch of Periastron Reference,object,83.309,385,False,True,
pl_orbtperlim,Epoch of Periastron Limit Flag,float64,83.309,1,False,True,
hip_name,HIP ID,object,81.891,782,False,False,
pl_denserr1,Planet Density Upper Unc. [g/cm**3],float64,77.507,441,False,True,
pl_denserr2,Planet Density Lower Unc. [g/cm**3],float64,77.507,407,False,True,
st_vsinerr2,Stellar Rotational Velocity [km/s] Lower Unc.,float64,75.339,132,False,True,
sy_w4magerr1,W4 (WISE) Magnitude Upper Unc,float64,75.243,422,False,True,
sy_w4magerr2,W4 (WISE) Magnitude Lower Unc,float64,75.243,422,False,True,
st_vsinerr1,Stellar Rotational Velocity [km/s] Upper Unc.,float64,75.116,131,False,True,
pl_orblpererr1,Argument of Periastron Upper Unc. [deg],float64,71.927,781,False,True,
