column,description,non_null,missing,missing_pct,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew
pl_angseperr1,Angular Separation Upper Unc. [mas],0,6273,100.0,,,,,,,,,,,,
pl_angseperr2,Angular Separation Lower Unc. [mas],0,6273,100.0,,,,,,,,,,,,
sy_kepmagerr1,Kepler Magnitude Upper Unc,0,6273,100.0,,,,,,,,,,,,
sy_kepmagerr2,Kepler Magnitude Lower Unc,0,6273,100.0,,,,,,,,,,,,
sy_icmagerr2,I (Cousins) Magnitude Lower Unc,18,6255,99.713,-2.733944444444445,5.851436530230868,-24.77,-22.0245,-11.042499999999997,-2.1500000000000004,-0.9450000000000001,-0.2325,-0.044850000000000056,-0.01697000000000007,-0.01,-3.5537240276972
pl_occdeperr1,Occultation Depth Upper Unc. [%],32,6241,99.49,0.0045336249999999995,0.012561862759315234,6.6e-05,8.274000000000001e-05,0.00013649999999999998,0.00046750000000000003,0.00125,0.002275,0.011349999999999997,0.05302000000000007,0.071,5.09227800970598
pl_occdeperr2,Occultation Depth Lower Unc. [%],32,6241,99.49,-0.0039660625,0.009232099925164687,-0.051,-0.03922,-0.011899999999999999,-0.0024999999999999996,-0.00125,-0.0005225,-0.0001365,-8.135999999999993e-05,-6.4e-05,-4.580432894744569
pl_occdep,Occultation Depth [%],35,6238,99.442,0.029010428571428572,0.046129399365701,0.00065,0.0006653,0.0007335,0.00201,0.0083,0.035250000000000004,0.12177999999999992,0.1775719999999998,0.196,2.233922508468432
pl_occdeplim,Occultation Depth Limit Flag,35,6238,99.442,0.08571428571428572,0.2840286409986905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0940114901719737
pl_trueobliqerr1,True Obliquity Upper Unc. [deg],58,6215,99.075,11.866206896551724,10.74783598416015,0.95,1.0925,1.64,6.0,10.0,13.75,28.19049999999999,54.3,60.0,2.5704595102377734
