feature_a,feature_b,spearman
sy_pm,sy_tmag,-0.6769673682499106
pl_angsep,sy_pm,0.6764075611491576
sy_bmag,sy_w4mag,0.6759412536083355
sy_plx,sy_bmag,-0.6620115155780355
pl_orbeccen,sy_w2mag,-0.6586630387638961
pl_orbeccen,sy_kmag,-0.6585084409822752
sy_dist,sy_bmag,0.6583199366723005
pl_orbeccen,sy_w1mag,-0.6575371739053465
st_teff,st_logg,-0.6563322183399417
pl_orbeccen,sy_hmag,-0.6559906788613512
pl_orbeccen,sy_w3mag,-0.6556063791572415
pl_angsep,sy_vmag,-0.6543276955007231
pl_orbeccen,sy_jmag,-0.6539410044221914
