config_id,component_id,n_nodes,n_members_unique,n_edges_internal,beta_1_component,mean_node_size,mean_imputation_fraction,physically_derived_fraction,dominant_radius_class,dominant_orbit_class,dominant_thermal_class,dominant_candidate_population,median_pl_rade,median_pl_bmasse,median_pl_orbper,median_pl_eqt,example_nodes,example_pl_names,interpretation_text,caution_level
phys_min_pca2_cubes10_overlap0p35,10,1,5,0,0,5.0,0.0,0.0,neptune_or_sub_jovian_size,intermediate_period,warm,unknown_mixed,4.3,44.0,31.561999999999998,748.4,cube41_cluster1,"HD 95338 b, K2-55 b, Kepler-1656 b, Kepler-279 c, TOI-1439 b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: unknown_mixed.,low
phys_min_pca2_cubes10_overlap0p35,11,3,7,3,1,5.666666666666667,0.0,0.0,neptune_or_sub_jovian_size,short_period,hot,unknown_mixed,5.4539,58.46999999999999,3.633581,1360.0,"cube41_cluster2, cube42_cluster3, cube51_cluster3","K2-108 b, Kepler-101 b, Kepler-103 c, TOI-3862 b, TOI-532 b",Connected component with 3 nodes and beta_1_component=1. Dominant heuristic population: unknown_mixed.,low
phys_min_pca2_cubes10_overlap0p35,12,2,5,1,0,5.0,0.0,0.0,neptune_or_sub_jovian_size,intermediate_period,hot,unknown_mixed,5.3422266,34.400000000000006,15.344400000000004,917.46,"cube41_cluster3, cube42_cluster2","K2-98 b, Kepler-31 b, Kepler-328 c, TOI-1694 b, TOI-2019 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: unknown_mixed.,low
phys_min_pca2_cubes10_overlap0p35,13,4,7,6,3,6.0,0.0,0.0,jovian_size,short_period,very_hot,hot_jupiter_candidate,18.046,1175.9710000000002,3.352057,2034.0,"cube61_cluster1, cube62_cluster1, cube68_cluster1, cube69_cluster1","HAT-P-69 b, KELT-20 b, KELT-21 b, MASCARA-1 b, NGTS-33 b",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: hot_jupiter_candidate.,low
phys_min_pca2_cubes10_overlap0p35,14,1,4,0,0,4.0,0.0,0.0,jovian_size,long_period,very_hot,warm_or_cool_giant_candidate,15.827108,4158.794980445001,1046.5957615450004,1535.95,cube67_cluster2,"2MASS J02192210-3925225 b, HATS-70 b, HD 206893 c, XO-3 b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,low
phys_density_pca2_cubes10_overlap0p35,0,33,5832,72,40,477.75757575757575,0.0037297121820668417,0.33149244762666696,jovian_size,short_period,warm,warm_or_cool_giant_candidate,2.83,8.91,12.0478673665,768.9132230563032,"cube7_cluster0, cube8_cluster0, cube9_cluster0, cube12_cluster0, cube12_cluster2","11 Com b, 11 UMi b, 14 And b, 14 Her b, 16 Cyg B b",Connected component with 33 nodes and beta_1_component=40. Dominant heuristic population: warm_or_cool_giant_candidate.,low
phys_density_pca2_cubes10_overlap0p35,1,2,4,1,0,4.0,0.0,0.3333333333333333,neptune_or_sub_jovian_size,intermediate_period,warm,unknown_mixed,8.1,19.375938005000002,73.477605,552.005,"cube11_cluster0, cube12_cluster3","K2-24 c, Kepler-30 d, TOI-216.02, TOI-4507 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: unknown_mixed.,low
phys_density_pca2_cubes10_overlap0p35,2,2,14,1,0,13.0,0.0,0.3333333333333333,neptune_or_sub_jovian_size,short_period,warm,unknown_mixed,5.1785,14.525000000000002,14.476660000000003,611.5,"cube12_cluster1, cube19_cluster1","CoRoT-22 b, HIP 41378 e, K2-32 b, KOI-1783.02, Kepler-11 e",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: unknown_mixed.,low
phys_density_pca2_cubes10_overlap0p35,3,2,6,1,0,6.0,0.0,0.3333333333333333,sub_neptune_size,intermediate_period,warm,sub_neptune_candidate,3.105,5.949999999999999,43.46682100000001,614.0075775512487,"cube19_cluster3, cube26_cluster1","HD 28109 d, Kepler-289 d, Kepler-324 c, Kepler-350 c, TOI-2076 d",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: sub_neptune_candidate.,low
phys_density_pca2_cubes10_overlap0p35,4,1,18,0,0,18.0,0.0,0.3333333333333333,sub_neptune_size,intermediate_period,warm,sub_neptune_candidate,3.4619999999999997,5.77,20.744743999999997,584.385,cube19_cluster4,"CoRoT-24 b, HIP 9618 b, HIP 9618 c, K2-138 g, K2-32 d",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: sub_neptune_candidate.,low
phys_density_pca2_cubes10_overlap0p35,5,1,6,0,0,6.0,0.0,0.3333333333333333,neptune_or_sub_jovian_size,intermediate_period,hot,unknown_mixed,5.191376685,30.270180000000003,7.7645535,883.73,cube20_cluster2,"CoRoT-24 c, Kepler-31 b, NGTS-14 A b, TOI-1694 b, TOI-1728 b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: unknown_mixed.,low
phys_density_pca2_cubes10_overlap0p35,6,1,4,0,0,4.0,0.0,0.3333333333333333,neptune_or_sub_jovian_size,short_period,hot,unknown_mixed,6.30275825,46.73725,5.5159899999999995,909.75,cube20_cluster4,"CoRoT-32 b, TOI-1386 b, TOI-2374 b, WASP-156 b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: unknown_mixed.,low
phys_density_pca2_cubes10_overlap0p35,7,4,4,6,3,4.0,0.0,0.3333333333333333,neptune_or_sub_jovian_size,intermediate_period,warm,unknown_mixed,4.35087127,43.45,29.602999999999998,699.7,"cube20_cluster5, cube21_cluster1, cube27_cluster1, cube28_cluster3","HD 95338 b, K2-55 b, Kepler-1656 b, TOI-1439 b",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: unknown_mixed.,low
phys_density_pca2_cubes10_overlap0p35,8,2,6,1,0,6.0,0.0,0.3333333333333333,neptune_or_sub_jovian_size,short_period,hot,unknown_mixed,5.139232754999999,47.5,4.6689855,1070.009969145241,"cube20_cluster6, cube27_cluster3","Kepler-103 c, TOI-1288 b, TOI-329 b, TOI-3862 b, TOI-672 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: unknown_mixed.,low
phys_density_pca2_cubes10_overlap0p35,9,4,5,6,3,5.0,0.0,0.3333333333333333,jovian_size,short_period,very_hot,hot_jupiter_candidate,14.459585099999998,3591.3000000000006,3.19152309,1890.0,"cube22_cluster1, cube23_cluster1, cube29_cluster1, cube30_cluster1","GU Psc b, HATS-70 b, HD 203030 b, WASP-18 b, XO-3 b",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: hot_jupiter_candidate.,low
phys_density_pca2_cubes10_overlap0p35,10,1,4,0,0,4.0,0.0,0.3333333333333333,jovian_size,long_period,very_hot,warm_or_cool_giant_candidate,17.44118856,3063.873234999999,8159.788750251277,1831.0,cube22_cluster2,"HIP 65426 b, KOI-13 b, WISPIT 2 c, bet Pic b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,low
phys_density_pca2_cubes10_overlap0p35,11,5,20,7,3,7.8,0.0,0.3333333333333333,sub_neptune_size,intermediate_period,warm,sub_neptune_candidate,2.865,48.650000000000006,21.457533,665.915,"cube27_cluster2, cube28_cluster4, cube28_cluster5, cube35_cluster1, cube36_cluster4","Kepler-122 e, Kepler-123 b, Kepler-145 b, Kepler-189 c, Kepler-215 d",Connected component with 5 nodes and beta_1_component=3. Dominant heuristic population: sub_neptune_candidate.,low
phys_density_pca2_cubes10_overlap0p35,12,1,5,0,0,5.0,0.0,0.3333333333333333,rocky_size,short_period,hot,rocky_candidate,0.5099999999999999,0.0869999999999999,4.5458841,868.0,cube33_cluster1,"Kepler-1308 b, Kepler-1489 c, Kepler-1994 b, Kepler-444 c, Kepler-444 e",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: rocky_candidate.,low
phys_density_pca2_cubes10_overlap0p35,13,4,4,6,3,4.0,0.0,0.3333333333333333,rocky_size,intermediate_period,warm,super_earth_candidate,1.06,4.05,6.6513131,707.5,"cube35_cluster2, cube36_cluster6, cube42_cluster0, cube43_cluster1","Kepler-59 b, Kepler-595 c, TOI-5720 b, TOI-6008 b",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: super_earth_candidate.,low
phys_density_pca2_cubes10_overlap0p35,14,2,6,1,0,6.0,0.0,0.3333333333333333,sub_neptune_size,short_period,hot,sub_neptune_candidate,2.365,49.89509361500001,9.238981000000003,894.5,"cube36_cluster5, cube37_cluster0","Kepler-126 d, Kepler-226 c, Kepler-282 d, Kepler-416 b, Kepler-53 d",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: sub_neptune_candidate.,low
phys_density_pca2_cubes10_overlap0p35,15,1,4,0,0,4.0,0.0,0.3333333333333333,rocky_size,intermediate_period,warm,rocky_candidate,1.205,10.530000000000001,12.5751241,541.0,cube43_cluster0,"KOI-3503 b, KOI-3503 c, LP 890-9 b, TOI-1080 b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: rocky_candidate.,low
phys_density_pca2_cubes10_overlap0p35,16,1,4,0,0,4.0,0.0,0.3333333333333333,rocky_size,intermediate_period,hot,rocky_candidate,1.4249999999999998,34.45,11.940438999999996,667.5,cube44_cluster0,"Kepler-203 d, Kepler-326 b, Kepler-333 b, Kepler-62 f",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: rocky_candidate.,low
