config_id,input_method,space,lens,n_cubes,overlap,clusterer,min_samples,eps_percentile,rows_used,n_features,mean_node_imputation_fraction,max_node_imputation_fraction,mean_node_physically_derived_fraction,frac_nodes_high_imputation,frac_nodes_high_derived,config_has_density_feature,n_nodes,n_edges,beta_0,beta_1,graph_density,average_degree,average_clustering,transitivity,n_isolates,largest_component_size,largest_component_fraction,mean_node_size,median_node_size,min_node_size,max_node_size
joint_pca2_cubes10_overlap0p35,iterative,joint,pca2,10,0.35,dbscan,4,90.0,6273,7,0.1517948531939548,0.42857142857142855,0.14787059472415207,0.14285714285714285,0.0,True,56,126,7,77,0.08181818181818182,4.5,0.572804576376005,0.46615384615384614,0,40,0.7142857142857143,246.05357142857142,23.0,4,2384
joint_no_density_pca2_cubes10_overlap0p35,iterative,joint_no_density,pca2,10,0.35,dbscan,4,90.0,6273,6,0.17570100807987993,0.5,0.007711050247016595,0.3548387096774194,0.0,False,62,134,9,81,0.07086197778952935,4.32258064516129,0.5423253270027464,0.4535367545076283,3,47,0.7580645161290323,220.6451612903226,23.0,3,2500
orb_thermal_pca2_cubes10_overlap0p35,iterative,orb_thermal,pca2,10,0.35,dbscan,4,90.0,6273,4,0.34674308347500044,0.75,0.009035655011184193,0.5862068965517241,0.0,False,58,100,12,54,0.060496067755595885,3.4482758620689653,0.5359829825347067,0.47577092511013214,4,36,0.6206896551724138,244.79310344827587,6.5,3,2847
orbital_pca2_cubes10_overlap0p35,iterative,orbital,pca2,10,0.35,dbscan,4,90.0,6273,2,0.011199827665987988,0.375,0.02768533488517559,0.008064516129032258,0.0,False,124,196,24,96,0.025701547338054027,3.161290322580645,0.5772279333569657,0.21452513966480447,4,62,0.5,91.5725806451613,6.0,3,3316
phys_density_pca2_cubes10_overlap0p35,iterative,phys_density,pca2,10,0.35,dbscan,4,90.0,6273,3,0.001837022418032922,0.07866666666666666,0.33242662843303494,0.0,0.9850746268656716,True,67,102,17,52,0.04613297150610583,3.044776119402985,0.5614621696711249,0.5294117647058824,7,33,0.4925373134328358,238.38805970149255,6.0,3,3023
phys_min_pca2_cubes10_overlap0p35,iterative,phys_min,pca2,10,0.35,dbscan,4,90.0,6273,2,0.017370253623123333,0.42105263157894735,0.0,0.030303030303030304,0.0,False,66,105,15,54,0.04895104895104895,3.1818181818181817,0.6485930735930736,0.579088471849866,6,33,0.5,202.54545454545453,7.0,3,2323
thermal_pca2_cubes10_overlap0p35,iterative,thermal,pca2,10,0.35,dbscan,4,90.0,6273,2,0.5875030401169343,1.0,0.0,0.71900826446281,0.0,False,121,150,38,67,0.02066115702479339,2.479338842975207,0.5049242768251032,0.521484375,6,35,0.2892561983471074,96.15702479338843,6.0,3,2993
