config_id,node_id,highlight_reason,n_members,degree,component_id,mean_imputation_fraction,physically_derived_fraction,candidate_population_top,radius_class_top,orbit_class_top,thermal_class_top,mean_pl_rade,mean_pl_bmasse,mean_pl_dens,mean_pl_orbper,mean_pl_orbsmax,mean_pl_insol,mean_pl_eqt,example_pl_names,interpretation_text,caution_text
thermal_pca2_cubes10_overlap0p35,cube34_cluster0,central_node;cycle_component_node;extreme_density;large_node;reliable_node,2810,13,4,0.14110320284697508,0.0,sub_neptune_candidate,sub_neptune_size,short_period,hot,4.04412062545259,94.27476372233312,20.19240578379737,9.58426525852983,0.08201391518013401,253.8409708047268,970.1681938097445,"[""24 Boo b"", ""51 Peg b"", ""55 Cnc b"", ""55 Cnc c"", ""61 Vir b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
thermal_pca2_cubes10_overlap0p35,cube19_cluster0,central_node;cycle_component_node;large_node;risky_node,875,8,4,0.32171428571428573,0.0,sub_neptune_candidate,sub_neptune_size,long_period,warm,4.997425786710297,119.75711132067092,5.019338396137409,320.90782311284397,0.7236480596320086,3.9573519239523707,372.8294579420138,"[""2MASS J19383260+4603591 b"", ""47 UMa c"", ""55 Cnc f"", ""7 CMa c"", ""AU Mic c""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube41_cluster0,central_node;cycle_component_node;extreme_density;large_node;reliable_node,825,7,4,0.09696969696969697,0.0,hot_jupiter_candidate,jovian_size,short_period,hot,6.947036226667758,218.22286617196937,10.496562733719196,3.7733240196433093,0.047527962498695425,831.6257360657684,1382.584728946109,"[""51 Peg b"", ""CoRoT-11 b"", ""CoRoT-12 b"", ""CoRoT-16 b"", ""CoRoT-18 b""]","Node enriched in short-period large-radius planets, compatible with a hot-Jupiter-like region.",Low-to-moderate caution: interpretation is comparatively stable within this run.
thermal_pca2_cubes10_overlap0p35,cube26_cluster0,central_node;cycle_component_node;large_node;risky_node,720,11,4,0.8472222222222222,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,warm,10.814972429740262,970.572525889375,3.2544375541921036,774.8737969988938,1.5944089724375272,3.7965086476682712,578.4763845639279,"[""14 Her b"", ""16 Cyg B b"", ""17 Sco b"", ""18 Del b"", ""24 Sex b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube18_cluster0,central_node;cycle_component_node;large_node;risky_node,719,5,4,0.717663421418637,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,warm,9.335983703740691,720.8590933966065,3.159010723942826,1242.0717652054348,2.0511428187749954,1.3978514710017849,400.82150345543613,"[""14 Her b"", ""16 Cyg B b"", ""2MASS J19383260+4603591 b"", ""47 UMa b"", ""47 UMa c""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube40_cluster0,central_node;cycle_component_node;large_node;reliable_node,715,7,4,0.07972027972027972,0.0,hot_jupiter_candidate,jovian_size,short_period,very_hot,9.453085025485512,314.3978569280969,8.295570053258706,3.3449451211914405,0.0442468361632209,1166.089910890864,1546.2915885170921,"[""51 Peg b"", ""55 Cnc e"", ""BD+05 4868 A b"", ""CoRoT-1 b"", ""CoRoT-11 b""]","Node enriched in short-period large-radius planets, compatible with a hot-Jupiter-like region.",Low-to-moderate caution: interpretation is comparatively stable within this run.
thermal_pca2_cubes10_overlap0p35,cube33_cluster1,central_node;cycle_component_node;large_node;reliable_node,368,3,4,0.14945652173913043,0.0,hot_jupiter_candidate,jovian_size,short_period,hot,8.6761663245237,265.073367446287,3.594266822204952,4.418803832502799,0.051948115758893985,555.8510707895454,1334.0817728783084,"[""51 Peg b"", ""BD-06 1339 b"", ""BD-10 3166 b"", ""CoRoT-12 b"", ""CoRoT-16 b""]","Node enriched in short-period large-radius planets, compatible with a hot-Jupiter-like region.",Low-to-moderate caution: interpretation is comparatively stable within this run.
thermal_pca2_cubes10_overlap0p35,cube28_cluster0,central_node;cycle_component_node;large_node;reliable_node,258,4,4,0.03488372093023256,0.0,sub_neptune_candidate,sub_neptune_size,intermediate_period,warm,2.4727627632558145,33.116813401349525,9.5682043043796,20.719414489732557,0.13559986279291414,86.26811691202252,658.2047526381216,"[""EPIC 206215704 b"", ""GJ 238 b"", ""GJ 3138 b"", ""K2-116 b"", ""K2-257 b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
thermal_pca2_cubes10_overlap0p35,cube35_cluster0,central_node;cycle_component_node;extreme_density;large_node;reliable_node,235,3,4,0.059574468085106386,0.0,sub_neptune_candidate,sub_neptune_size,intermediate_period,warm,2.5049699187234045,52.54989515024756,68.74968628983041,13.724803753269276,0.10566184525289324,207.60337094470964,789.4232791264832,"[""EPIC 201497682 b"", ""EPIC 201757695.02"", ""EPIC 206317286 b"", ""GJ 238 b"", ""GJ 3138 b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
thermal_pca2_cubes10_overlap0p35,cube47_cluster0,central_node;cycle_component_node;large_node;reliable_node,108,5,4,0.023148148148148147,0.0,hot_jupiter_candidate,jovian_size,short_period,very_hot,10.362478876160933,364.76022183361107,2.8369886933820925,2.199126693432037,0.03396543690466574,2476.290425045323,1906.5969203055613,"[""55 Cnc e"", ""BD+05 4868 A b"", ""CoRoT-1 b"", ""CoRoT-14 b"", ""CoRoT-7 b""]","Node enriched in short-period large-radius planets, compatible with a hot-Jupiter-like region.",Low-to-moderate caution: interpretation is comparatively stable within this run.
