feature_a,feature_b,spearman
pl_bmasse,pl_bmassj,0.9999955774280328
pl_rade,pl_radj,0.9999771183465369
pl_orbper,pl_orbsmax,0.9904370085696764
sy_vmag,sy_gaiamag,0.9903581371570639
pl_insol,pl_eqt,0.9707115279156455
sy_kmag,sy_gaiamag,0.9543106843471602
st_rad,st_logg,-0.949368986983589
pl_radj,pl_bmasse,0.9313415183436127
pl_radj,pl_bmassj,0.9313297151634714
pl_rade,pl_bmasse,0.9313174819123538
pl_rade,pl_bmassj,0.9313048307981228
st_rad,st_mass,0.9308639733903225
sy_vmag,sy_kmag,0.9192352655947471
sy_dist,sy_kmag,0.8876942281703889
st_mass,st_logg,-0.8450018040260889
st_teff,st_mass,0.7821427728662784
sy_dist,sy_gaiamag,0.7544239445837646
pl_orbper,pl_eqt,-0.7503257676189578
pl_orbper,pl_insol,-0.7392971207301696
st_teff,st_rad,0.7341251686654564
sy_dist,sy_vmag,0.699642118891225
pl_orbeccen,sy_kmag,-0.6578315529165231
st_teff,st_logg,-0.6559580302095632
