,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_met,sy_pnum,pl_insol,pl_eqt
pl_rade,1.0,0.9313174819123538,-0.6454768907378396,0.30485667363389246,0.3845460206904361,0.47205784568183096,0.1922740558619263,0.23218144592126475,-0.25095915176519784,0.08339625269747357,0.13050148333809092
pl_bmasse,0.9313174819123538,1.0,-0.401078295969088,0.3408574775686495,0.4279764299136385,0.5262802037040822,0.14522147447243522,0.23336570567503948,-0.20688927591446798,0.08453129118559694,0.12791838249567478
pl_dens,-0.6454768907378396,-0.401078295969088,1.0,-0.0854451156415165,-0.09917104491318289,-0.12619753033896747,-0.1522414316872359,-0.16307075910699836,0.157225066263939,-0.03956228720709134,-0.045607546180685556
pl_orbper,0.30485667363389246,0.3408574775686495,-0.0854451156415165,1.0,0.9904370085696764,0.3519908462164425,0.037875003174303215,-0.05386558359455358,0.1269953942430198,-0.7392971207301696,-0.7503257676189578
pl_orbsmax,0.3845460206904361,0.4279764299136385,-0.09917104491318289,0.9904370085696764,1.0,0.3424214009290904,0.09965581273572625,-0.026594716484486882,0.02300716396666472,-0.6499586151592924,-0.6309713389452353
pl_orbeccen,0.47205784568183096,0.5262802037040822,-0.12619753033896747,0.3519908462164425,0.3424214009290904,1.0,-0.1149683348525906,0.09835808134575347,0.03540800633376878,-0.06266277038768456,-0.0185880201940182
st_teff,0.1922740558619263,0.14522147447243522,-0.1522414316872359,0.037875003174303215,0.09965581273572625,-0.1149683348525906,1.0,0.1335357713973179,-0.07779951447638063,0.46873429357566737,0.42794576583988664
st_met,0.23218144592126475,0.23336570567503948,-0.16307075910699836,-0.05386558359455358,-0.026594716484486882,0.09835808134575347,0.1335357713973179,1.0,-0.03948955801053897,0.21031388286979097,0.20286119977899877
sy_pnum,-0.25095915176519784,-0.20688927591446798,0.157225066263939,0.1269953942430198,0.02300716396666472,0.03540800633376878,-0.07779951447638063,-0.03948955801053897,1.0,-0.22195406421168767,-0.22685228543969116
pl_insol,0.08339625269747357,0.08453129118559694,-0.03956228720709134,-0.7392971207301696,-0.6499586151592924,-0.06266277038768456,0.46873429357566737,0.21031388286979097,-0.22195406421168767,1.0,0.9707115279156455
pl_eqt,0.13050148333809092,0.12791838249567478,-0.045607546180685556,-0.7503257676189578,-0.6309713389452353,-0.0185880201940182,0.42794576583988664,0.20286119977899877,-0.22685228543969116,0.9707115279156455,1.0
