column,description,dtype,non_null,missing,missing_pct,unique,unique_pct
pl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,float64,6242,31,0.494,3,0.048
sy_dist,Distance [pc],float64,6246,27,0.43,4587,73.123
st_mass,Stellar Mass [Solar mass],float64,6264,9,0.143,1226,19.544
st_masslim,Stellar Mass Limit Flag,float64,6264,9,0.143,1,0.016
disc_year,Discovery Year,float64,6272,1,0.016,34,0.542
dec,Dec [deg],float64,6273,0,0.0,4698,74.892
decstr,Dec [sexagesimal],object,6273,0,0.0,4699,74.908
disc_facility,Discovery Facility,object,6273,0,0.0,73,1.164
discoverymethod,Discovery Method,object,6273,0,0.0,11,0.175
hostname,Host Name,object,6273,0,0.0,4701,74.94
pl_bmassprov,Planet Mass or Mass*sin(i) Provenance,object,6273,0,0.0,4,0.064
pl_controv_flag,Controversial Flag,int64,6273,0,0.0,2,0.032
pl_name,Planet Name,object,6273,0,0.0,6273,100.0
ra,RA [deg],float64,6273,0,0.0,4698,74.892
rastr,RA [sexagesimal],object,6273,0,0.0,4692,74.797
sy_pnum,Number of Planets,int64,6273,0,0.0,8,0.128
sy_snum,Number of Stars,int64,6273,0,0.0,4,0.064
ttv_flag,Data show Transit Timing Variations,int64,6273,0,0.0,2,0.032
