column,description,non_null,missing,missing_pct,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew
pl_orbpererr1,Orbital Period Upper Unc. [days],5444,829,13.215,87931.3507685914,6370304.260815761,0.0,2.543e-07,1.1193500000000016e-06,1.2e-05,8.2e-05,0.0014,22.0,3309.6296315999875,470000000.0,73.77187024062891
pl_orbpererr2,Orbital Period Lower Unc. [days],5444,829,13.215,-20085.08329611917,1357340.702786369,-100000000.0,-1951.8316735,-21.611999999999973,-0.0014,-8.2e-05,-1.2e-05,-1.161300000000001e-06,-2.688600000000006e-07,0.0,-73.45837948038623
st_met,Stellar Metallicity [dex],5633,640,10.202,0.016542020237883898,0.1883061220198777,-1.0,-0.54,-0.306,-0.08,0.02,0.13,0.32,0.41468000000000027,0.79,-0.5275934532429619
st_metlim,Stellar Metallicity Limit Flag,5633,640,10.202,0.0,0.026650089544451305,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
st_loggerr1,Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],5659,614,9.788,0.08258928485598162,0.08173882757096533,0.0,0.004,0.01,0.029,0.056,0.103,0.3,0.3,1.1,2.4683606311952033
st_loggerr2,Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],5659,614,9.788,-0.09703518430818166,0.10189951513574932,-3.51,-0.3,-0.3,-0.15,-0.073,-0.03,-0.01,-0.004,0.0,-10.975900536431205
st_tefferr1,Stellar Effective Temperature Upper Unc. [K],5665,608,9.692,98.48776522506621,71.83574828985674,1.0,12.0,24.0,59.76,86.0,120.33,200.0,295.2055999999996,1763.1,7.143710374082716
st_tefferr2,Stellar Effective Temperature Lower Unc. [K],5665,608,9.692,-99.25585525154456,73.47308614345619,-2360.24,-273.4912,-200.0,-124.62,-86.67,-58.33,-24.0,-12.0,-1.0,-9.50513765372306
st_raderr2,Stellar Radius Lower Unc. [Solar Radius],5681,592,9.437,-0.14688282239042422,0.8600459906854908,-28.97,-1.0599999999999998,-0.425,-0.105,-0.05,-0.023,-0.01,-0.004,0.0,-23.93630538768359
st_raderr1,Stellar Radius Upper Unc. [Solar Radius],5682,591,9.421,0.18798828792678637,1.6325985364977074,0.0,0.004181,0.01,0.023,0.05,0.16475,0.481,1.1037999999999921,104.528,49.45226269658273
pl_orbsmax,Orbit Semi-Major Axis [au],5845,428,6.823,15.694857450961779,348.71572430984327,0.0044,0.0131664,0.02472,0.0523,0.102,0.307,4.071200000000002,67.5600000000004,19000.0,39.43376822954616
pl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag,5846,427,6.807,-0.0005131713992473486,0.02264941071980004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.121039159293396
sy_gaiamag,Gaia Magnitude,5930,343,5.468,12.25072858431703,2.9327121271540215,2.36431,4.6114107,6.7070625,10.420275,12.92475,14.661024999999999,15.746125000000001,16.183092000000002,20.1861,-0.7701771923489338
sy_gaiamagerr1,Gaia Magnitude Upper Unc,5930,343,5.468,0.000636709915682968,0.001785010765515642,0.000112,0.000154,0.000186,0.000257,0.000364,0.000539,0.001541,0.0054357460000000035,0.063232,20.73615741043955
sy_gaiamagerr2,Gaia Magnitude Lower Unc,5930,343,5.468,-0.000636709915682968,0.001785010765515642,-0.063232,-0.005435746,-0.001541,-0.000539,-0.000364,-0.000257,-0.000186,-0.000154,-0.000112,-20.73615741043955
pl_orbper,Orbital Period [days],5934,339,5.404,72130.77652450337,5221021.018777465,0.090706293,0.64562524,1.5521735582000002,4.302425570185,10.678821845,38.050250000000005,1535.041692,13647.773971800061,402000000.0,76.92318784993898
pl_orbperlim,Orbital Period Limit Flag,5934,339,5.404,-0.0010111223458038423,0.03178474836363432,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.408593092987342
sy_kmagerr2,Ks (2MASS) Magnitude Lower Unc,5939,334,5.324,-0.04102071055733289,0.256658640753549,-9.995,-0.286,-0.059,-0.03,-0.023,-0.02,-0.016,-0.012,-0.011,-35.0136262564806
sy_kmagerr1,Ks (2MASS) Magnitude Upper Unc,5950,323,5.149,0.04100731092436975,0.2508398875244968,0.011,0.012,0.016,0.02,0.023,0.03,0.059,0.286,9.995,34.02511162592481
