,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_dens
sy_snum,1.0,0.01938865993086619,-0.10483575957765233,0.03847156078076916,0.024181294811629013,0.15777300798266125,0.15777684060307362,0.15071808150182545,0.15064229834967083,0.1683363896491455,0.06199457834645648,0.0608148189549411,0.006289148470083709,0.038078358435502745,0.03431234510453255,0.03182650405556241,-0.02655245436278757,-0.09600618422035301,-0.0808268442897999,-0.20922059404492369,-0.19448738567201823,-0.21216091841986065,-0.20060487944404493,-0.06693716597105089
sy_pnum,0.01938865993086619,1.0,-0.20155893602581043,0.1269953942430198,0.02300716396666472,-0.25095915176519784,-0.25084575133380327,-0.20688927591446798,-0.2068342865127716,0.03540800633376878,-0.22195406421168767,-0.22685228543969116,-0.07779951447638063,-0.12058270247862954,-0.09059906222328351,-0.03948955801053897,0.1055792995832749,0.046875946060522776,0.0680757022500757,-0.14584556965868206,-0.03520877460817819,-0.04556747937772038,-0.03806169767412032,0.157225066263939
disc_year,-0.10483575957765233,-0.20155893602581043,1.0,-0.14717770866319138,-0.0662806617300676,-0.031047106605200648,-0.031023711354859634,-0.03749385261583727,-0.03744676100366806,0.04862714489519633,-0.036573513728007184,-0.011025377978906788,-0.12878267982598077,-0.14539995982864115,-0.16963665472647818,-0.018054241312931586,0.11990068858868114,-0.20074565669573083,-0.15519608882578576,-0.11871007420610474,-0.07577665656764805,-0.13936725387392923,-0.09888103877193283,-0.02714233449262961
pl_orbper,0.03847156078076916,0.1269953942430198,-0.14717770866319138,1.0,0.9904370085696764,0.30485667363389246,0.3049133098506159,0.3408574775686495,0.3408346587081337,0.3519908462164425,-0.7392971207301696,-0.7503257676189578,0.037875003174303215,0.19300897964954394,0.14498670269242872,-0.05386558359455358,-0.19989132020551573,-0.02748583309341315,-0.023896697019467762,-0.12065012139452237,-0.2619120813419151,-0.21088262756501858,-0.24992548175409993,-0.0854451156415165
pl_orbsmax,0.024181294811629013,0.02300716396666472,-0.0662806617300676,0.9904370085696764,1.0,0.3845460206904361,0.3846144657119206,0.4279764299136385,0.42796074926277533,0.3424214009290904,-0.6499586151592924,-0.6309713389452353,0.09965581273572625,0.2721024096929941,0.112649901653654,-0.026594716484486882,-0.2786885197281769,-0.08362721708276927,-0.12893629797307696,0.00429583199796652,-0.2942458239022297,-0.21766079014592132,-0.27547771447382846,-0.09917104491318289
pl_rade,0.15777300798266125,-0.25095915176519784,-0.031047106605200648,0.30485667363389246,0.3845460206904361,1.0,0.9999771183465369,0.9313174819123538,0.9313048307981228,0.47205784568183096,0.08339625269747357,0.13050148333809092,0.1922740558619263,0.4170305437962824,0.30835825940158407,0.23218144592126475,-0.41509436227812435,-0.26180588765698104,-0.33172825605680967,-0.11866487582373958,-0.4115896449936739,-0.35001655918347424,-0.40062732165845977,-0.6454768907378396
pl_radj,0.15777684060307362,-0.25084575133380327,-0.031023711354859634,0.3049133098506159,0.3846144657119206,0.9999771183465369,1.0,0.9313415183436127,0.9313297151634714,0.47221361168067444,0.08341663784376836,0.13051130590681037,0.19228136559222733,0.4170167281986545,0.30829729955691954,0.2320440740144219,-0.41511138243564943,-0.26172649281871124,-0.331788916323326,-0.11880279993076709,-0.4117458959666607,-0.3501747209165046,-0.4007878301743906,-0.6453481470362887
pl_bmasse,0.15071808150182545,-0.20688927591446798,-0.03749385261583727,0.3408574775686495,0.4279764299136385,0.9313174819123538,0.9313415183436127,1.0,0.9999955774280328,0.5262802037040822,0.08453129118559694,0.12791838249567478,0.14522147447243522,0.3850377333466255,0.2807588582880795,0.23336570567503948,-0.38683042558230524,-0.26516451023702203,-0.3331090170668104,-0.1660418378569597,-0.432836713656899,-0.38720871202771584,-0.42306711628950566,-0.401078295969088
pl_bmassj,0.15064229834967083,-0.2068342865127716,-0.03744676100366806,0.3408346587081337,0.42796074926277533,0.9313048307981228,0.9313297151634714,0.9999955774280328,1.0,0.5262796015903783,0.08449278277184709,0.12790561672684359,0.14526137591971386,0.38497103858884746,0.2807604640704872,0.23326541742935347,-0.3867637681893712,-0.2651247086648164,-0.33304347549278507,-0.16605300125385897,-0.43281463608937953,-0.38717661335203396,-0.4230390573285816,-0.4010482049480804
pl_orbeccen,0.1683363896491455,0.03540800633376878,0.04862714489519633,0.3519908462164425,0.3424214009290904,0.47205784568183096,0.47221361168067444,0.5262802037040822,0.5262796015903783,1.0,-0.06266277038768456,-0.0185880201940182,-0.1149683348525906,0.14020636129551395,0.09570430012627557,0.09835808134575347,-0.16829052813125514,-0.39722125133974207,-0.4209939926454093,-0.5997663582353483,-0.6047117257646083,-0.6578315529165231,-0.6249139052634836,-0.12619753033896747
pl_insol,0.06199457834645648,-0.22195406421168767,-0.036573513728007184,-0.7392971207301696,-0.6499586151592924,0.08339625269747357,0.08341663784376836,0.08453129118559694,0.08449278277184709,-0.06266277038768456,1.0,0.9707115279156455,0.46873429357566737,0.5138280034247623,0.5151143691888975,0.21031388286979097,-0.48859403203764146,-0.013243067972080299,-0.0677644046681864,0.1656584670001341,-0.26065932212018755,-0.06560906251857578,-0.214486399891046,-0.03956228720709134
pl_eqt,0.0608148189549411,-0.22685228543969116,-0.011025377978906788,-0.7503257676189578,-0.6309713389452353,0.13050148333809092,0.13051130590681037,0.12791838249567478,0.12790561672684359,-0.0185880201940182,0.9707115279156455,1.0,0.42794576583988664,0.4857395424343646,0.4800086886348415,0.20286119977899877,-0.4677218150207666,-0.0639915568731509,-0.12500371517624315,0.09886689354667018,-0.26996297012330545,-0.10877284441303335,-0.23046659225799954,-0.045607546180685556
st_teff,0.006289148470083709,-0.07779951447638063,-0.12878267982598077,0.037875003174303215,0.09965581273572625,0.1922740558619263,0.19228136559222733,0.14522147447243522,0.14526137591971386,-0.1149683348525906,0.46873429357566737,0.42794576583988664,1.0,0.7341251686654564,0.7821427728662784,0.1335357713973179,-0.6559580302095632,0.12726061486471263,0.08410093784273975,0.42942252255367724,-0.1378399080285715,0.16113128272507962,-0.07427297481510561,-0.1522414316872359
st_rad,0.038078358435502745,-0.12058270247862954,-0.14539995982864115,0.19300897964954394,0.2721024096929941,0.4170305437962824,0.4170167281986545,0.3850377333466255,0.38497103858884746,0.14020636129551395,0.5138280034247623,0.4857395424343646,0.7341251686654564,1.0,0.9308639733903225,0.22936105525762351,-0.949368986983589,0.0005549003599226434,-0.01221557137594061,0.250251127310952,-0.39569315348008866,-0.1466639280934481,-0.33880722054814155,-0.21096091481721826
st_mass,0.03431234510453255,-0.09059906222328351,-0.16963665472647818,0.14498670269242872,0.112649901653654,0.30835825940158407,0.30829729955691954,0.2807588582880795,0.2807604640704872,0.09570430012627557,0.5151143691888975,0.4800086886348415,0.7821427728662784,0.9308639733903225,1.0,0.29362447023260324,-0.8450018040260889,0.04403357408526795,0.09138144148515366,0.16141868031746823,-0.3509780595170586,-0.09355012902678193,-0.29122548849059715,-0.14998584079228547
st_met,0.03182650405556241,-0.03948955801053897,-0.018054241312931586,-0.05386558359455358,-0.026594716484486882,0.23218144592126475,0.2320440740144219,0.23336570567503948,0.23326541742935347,0.09835808134575347,0.21031388286979097,0.20286119977899877,0.1335357713973179,0.22936105525762351,0.29362447023260324,1.0,-0.19786962068233224,-0.024860880624604204,-0.03515885114168091,0.007092111682145507,-0.08936083293486519,-0.048488775475362456,-0.07770428190928728,-0.16307075910699836
st_logg,-0.02655245436278757,0.1055792995832749,0.11990068858868114,-0.19989132020551573,-0.2786885197281769,-0.41509436227812435,-0.41511138243564943,-0.38683042558230524,-0.3867637681893712,-0.16829052813125514,-0.48859403203764146,-0.4677218150207666,-0.6559580302095632,-0.949368986983589,-0.8450018040260889,-0.19786962068233224,1.0,0.01984884508111597,0.04653304674564608,-0.19527881708227954,0.42434051733049216,0.18902038225033482,0.368725102210512,0.21738982616176808
ra,-0.09600618422035301,0.046875946060522776,-0.20074565669573083,-0.02748583309341315,-0.08362721708276927,-0.26180588765698104,-0.26172649281871124,-0.26516451023702203,-0.2651247086648164,-0.39722125133974207,-0.013243067972080299,-0.0639915568731509,0.12726061486471263,0.0005549003599226434,0.04403357408526795,-0.024860880624604204,0.01984884508111597,1.0,0.39425692777139704,0.4013322658641323,0.38745255217638724,0.450663624189149,0.4092178569636813,0.1157398563782993
dec,-0.0808268442897999,0.0680757022500757,-0.15519608882578576,-0.023896697019467762,-0.12893629797307696,-0.33172825605680967,-0.331788916323326,-0.3331090170668104,-0.33304347549278507,-0.4209939926454093,-0.0677644046681864,-0.12500371517624315,0.08410093784273975,-0.01221557137594061,0.09138144148515366,-0.03515885114168091,0.04653304674564608,0.39425692777139704,1.0,0.3191675477052577,0.38845758593830065,0.44793513506808036,0.41385851246837796,0.17392086552316363
