column,role,description,non_null,missing,missing_pct,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew
pl_insol,insolacion,Insolation Flux [Earth Flux],4397,1876,29.906,419.88581073459176,1287.8924813670328,0.0003,0.4,2.5,24.114,100.0,376.29,1771.2379999999991,4353.77168,44900.0,18.701395317466382
pl_eqt,temperatura equilibrio,Equilibrium Temperature [K],4673,1600,25.506,914.7976353520222,462.8372135840034,34.0,208.72,331.6,569.0,823.0,1164.0,1789.0,2305.319999999995,4050.0,1.0602672485914486
pl_orbeccen,excentricidad,Eccentricity,5221,1052,16.77,0.0790978557747558,0.15282542225128765,0.0,0.0,0.0,0.0,0.0,0.09,0.41,0.73,0.95,2.643288630777644
st_met,metalicidad estrella,Stellar Metallicity [dex],5633,640,10.202,0.016542020237883898,0.1883061220198777,-1.0,-0.54,-0.306,-0.08,0.02,0.13,0.32,0.41468000000000027,0.79,-0.5275934532429619
pl_orbsmax,semi eje mayor,Orbit Semi-Major Axis [au],5845,428,6.823,15.694857450961779,348.71572430984327,0.0044,0.0131664,0.02472,0.0523,0.102,0.307,4.071200000000002,67.5600000000004,19000.0,39.43376822954616
pl_orbper,periodo orbital,Orbital Period [days],5934,339,5.404,72130.77652450337,5221021.018777465,0.090706293,0.64562524,1.5521735582000002,4.302425570185,10.678821845,38.050250000000005,1535.041692,13647.773971800061,402000000.0,76.92318784993898
st_teff,temperatura estrella,Stellar Effective Temperature [K],5979,294,4.687,5392.978658638568,1733.5349957741391,415.0,3099.78,3515.0,4895.985000000001,5543.0,5897.0,6340.0,7257.6600000000135,57000.0,15.14930883548751
pl_dens,densidad planeta,"Planet Density [g/cm3], derived from pl_bmasse and pl_rade",6199,74,1.18,13.109383794015194,260.08332333357833,0.030255144032921812,0.18430974556272264,0.3419656578526486,1.337925146098382,2.5883077748942203,4.672604444444445,11.30426053181845,52.975966478388635,13880.950878914133,40.92868580537466
pl_rade,radio planeta,Planet Radius [Earth Radius],6223,50,0.797,5.80640558653704,5.4039297509515,0.3098,0.750898403,1.073,1.84,2.84141754,11.9,14.3,18.250942159999976,87.20586985,1.760840769510489
pl_bmasse,masa planeta,Planet Mass or Mass*sin(i) [Earth Mass],6242,31,0.494,400.7319945549055,1135.2925664334987,0.02,0.38387000000000004,1.3305000000000002,4.27,9.2,184.0233394125,2511.4482892695,6463.274850000019,9534.85221,4.416882518977159
sy_pnum,numero planetas,Number of Planets,6273,0,0.0,1.7591264147935597,1.1494674907266476,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,1.8428759587126604
