feature,log10_applied,missing_before_transform,nonpositive_set_missing,missing_after_transform
pl_rade,True,50,0,50
pl_bmasse,True,31,0,31
pl_dens,True,74,0,74
pl_orbper,True,339,0,339
pl_orbsmax,True,8,0,8
pl_insol,True,1876,0,1876
pl_eqt,False,1600,0,1600
