pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_dist,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_insol,pl_eqt,original_pl_rade,original_pl_bmasse,original_pl_dens,original_pl_orbper,original_pl_orbsmax,original_pl_insol,original_pl_eqt,pl_rade_was_missing,pl_rade_source,pl_bmasse_was_missing,pl_bmasse_source,pl_dens_was_missing,pl_dens_source,pl_orbper_was_missing,pl_orbper_source,pl_orbsmax_was_missing,pl_orbsmax_source,pl_insol_was_missing,pl_insol_source,pl_eqt_was_missing,pl_eqt_source
TOI-4030 b,TOI-4030,Transit,2026.0,Transiting Exoplanet Survey Satellite (TESS),571.615,0.3834479259859432,0.2994656832517493,-0.9460552184677828,-0.6250861660510532,-0.5938342201661109,0.6486942142239827,1.0338709677419355,5.846255900000001,28.799999999999997,0.7947413064208291,2.5090019946099997,0.03589350587795966,609.9610000000001,1384.0,False,observed,False,observed,True,derived_density,False,observed,True,derived_kepler,False,observed,False,observed
TOI-406 c,TOI-406,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),31.0597,-0.4146663347091796,-0.3947859119949718,0.5197052762487311,-0.5146095489550521,-0.6579053894306641,-0.2980571162950229,-0.2564516129032258,1.32,2.0800000000000005,4.986643292428416,3.307441,0.03219999999999999,18.999999999999996,584.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
TOI-406.01,TOI-406,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),31.0597,-0.17078862963286623,-0.0909471083524927,0.3488563093079214,0.03807322920386273,-0.11434306014609474,-0.8018221840027204,-0.6048387096774193,2.08,6.569999999999999,4.025706663205508,13.175682,0.08089999999999999,2.9999999999999996,368.00000000000006,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
TOI-4087 b,TOI-4087,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),301.676,0.8139815836149918,0.8506453273385131,-1.2029746255812128,-0.5306379505074396,-0.4645038501610477,0.7065165665591887,1.153225806451613,13.047253530000003,232.01473710999994,0.5760033754379239,3.1774835000000006,0.044689999999999994,753.9000000000001,1458.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
TOI-411 b,HD 22946,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),62.7792,-0.39786790718862797,0.10338246280066785,1.9497803980859574,-0.4345808233135348,-0.3181607214150659,0.5917747457939151,0.8032258064516129,1.362,13.710000000000004,29.920778824373006,4.040295,0.057269999999999995,495.1390000000001,1241.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
TOI-411 c,HD 22946,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),62.7792,-0.11037825035701343,0.012522445256765888,0.3917531132868456,-0.08964839224496637,0.020663444574929673,0.2778646109302332,0.3032258064516129,2.328,9.72,4.247995996375483,9.573083,0.1017,156.74999999999994,931.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
TOI-4127 b,TOI-4127,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),319.632,0.781698561265519,1.153816808368049,-0.14289882000558504,0.6194964983841701,0.674649474237221,-0.25434942857103043,-0.22241935483870964,12.285042850000002,731.0053361000001,2.173988698426206,56.39878999999999,0.30810000000000004,22.3,605.1,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
TOI-4137 b,TOI-4137,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),334.993,0.8352107802986094,1.030113042377273,-0.7555437376117095,-0.4589291562690398,-0.3726270690177841,0.7871406747710592,1.3338709677419356,13.574075629999998,457.67290608,1.0090000115942943,3.8016121999999997,0.05221999999999999,1013.0,1570.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
TOI-4145 A b,TOI-4145 A,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),205.387,0.8244753569031491,0.710828705081918,-1.6722407478920396,-0.43200137888185786,-0.41952509928861775,0.3740746489688373,0.5338709677419354,13.305060090000001,136.66621501,0.31994653237448817,4.0664428,0.048229999999999995,223.0,1074.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
TOI-4153 b,TOI-4153,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),423.84,0.9273517859549648,0.9707052544444795,-1.346397982265948,-0.381192951999081,-0.2608675784499053,0.836092242392717,1.4935483870967743,16.11851425,365.50266805000007,0.48126279695488555,4.6174141,0.06311000000000001,1212.0072000000002,1669.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
TOI-4155 b,TOI-4155,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),240.737,0.06191615269274514,0.030385949558646198,-0.3234990964797319,-0.5130062954239926,-0.45041374484761965,0.6381114977458248,0.8258064516129032,3.21,10.399999999999999,1.7337441307048906,3.320729,0.045770058754714175,586.7620000000001,1255.0,False,observed,False,observed,True,derived_density,False,observed,True,derived_kepler,False,observed,False,observed
TOI-4156 b,TOI-4156,Transit,2026.0,Transiting Exoplanet Survey Satellite (TESS),213.719,-0.06400885845378068,-0.07495530508202318,-0.07955557486602671,-0.394893006332552,-0.34466752667009576,0.571384681212887,0.8806451612903226,2.53823825,6.980000000000001,2.353558681658659,4.461890341330001,0.05475410364010799,459.4949999999998,1289.0,False,observed,False,observed,True,derived_density,False,observed,True,derived_kepler,False,observed,False,observed
TOI-4156 c,TOI-4156,Transit,2026.0,Transiting Exoplanet Survey Satellite (TESS),213.719,0.011692398272488462,-0.011652346641443632,-0.22627793217572748,0.02721872315818668,0.07057670067894713,0.1589667724747972,0.10696774193548395,2.92303762,8.87,1.9583358172967373,12.822827063749996,0.11067765156807712,101.39290000000003,809.32,False,observed,False,observed,True,derived_density,False,observed,True,derived_kepler,False,observed,False,observed
TOI-4184 b,TOI-4184,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),69.3649,-0.08738052491842853,-0.09459094723730213,-0.034534431209274914,-0.35727966929954624,-0.6327939982210335,-0.673548272194717,-0.5338709677419354,2.43,6.48,2.4901353113515894,4.9019804,0.033600000000000005,4.8,412.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,False,observed,False,observed
